date, pm25, pm10, o3, no2, so2, co
2017/4/18, 193, , 30, 22, 16, 16
2017/4/19, 151, , 34, 26, 17, 16
2017/4/20, 234, , 43, 15, 10, 12
2017/4/21, 205, , 36, 17, 14, 29
2017/4/22, 182, , 36, 18, 10, 10
2017/4/23, 155, , 30, 19, 13, 17
2017/4/24, 168, , 39, 19, 11, 16
2017/4/25, 148, , 34, 18, 8, 12
2017/4/26, 119, , 37, 19, 12, 25
2017/4/27, 141, , 36, 19, 7, 10
2017/4/28, 127, , 6, 53, 26, 51
2017/4/29, 999, , 88, 17, 10, 19
2017/4/30, 175, , 59, 26, 18, 11
2017/5/1, 236, , 60, 32, 28, 30
2017/5/2, 499, , 34, 25, 17, 22
2017/5/3, 317, , 46, 20, 12, 23
2017/5/4, 160, , 63, 32, 22, 9
2017/5/5, 329, , 67, 41, 15, 29
2017/5/6, 435, , 55, 42, 17, 29
2017/5/7, 368, , 95, 33, 18, 30
2017/5/8, 352, , 55, 16, 9, 14
2017/5/9, 156, , 68, 11, 5, 28
2017/5/10, 150, , 57, 32, 19, 34
2017/5/11, 229, , 70, 25, 25, 33
2017/5/12, 229, , 50, 28, 17, 21
2017/5/13, 476, , 44, 30, 12, 20
2017/5/14, 492, , 31, 28, 8, 17
2017/5/15, 374, , 67, 21, 18, 18
2017/5/16, 264, , 46, 16, 15, 14
2017/5/17, 165, , 41, 16, 16, 30
2017/5/18, 335, , 48, 10, 12, 7
2017/5/19, 181, , 40, 12, 16, 6
2017/5/20, 238, , 78, 9, 14, 14
2017/5/21, 251, , 54, 10, 7, 10
2017/5/22, 182, , 52, 13, 9, 12
2017/5/23, 182, , 43, 14, 18, 23
2017/5/24, 178, , 19, 20, 17, 9
2017/5/25, 189, , 58, 16, 11, 30
2017/5/26, 177, , 35, 16, 4, 8
2017/5/28, 102, , 28, 13, 3, 13
2017/5/29, 111, , 35, 16, 4, 5
2017/5/30, 151, , 20, 20, 16, 21
2017/5/31, 312, , 54, 15, 15, 31
2017/6/1, 160, , 57, 16, 5, 9
2017/6/2, 155, , 49, 22, 21, 39
2017/6/3, 136, , 32, 13, 6, 12
2017/6/4, 150, , 8, 15, 3, 12
2017/6/5, 103, , 38, 10, 3, 5
2017/6/6, 113, , 24, 9, 2, 6
